"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"Sim"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"Sim"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"Patriota";"https://dadosabertos.camara.leg.br/api/v2/partidos/37907";"Sim"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"Sim"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";"Sim"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"Sim"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Sim"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"Podemos";"";"Sim"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"Republican";"";"Sim"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"Minoria";"";"Sim"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"Avante";"https://dadosabertos.camara.leg.br/api/v2/partidos/36898";"Sim"
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"Solidaried";"";"Não"
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";""
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"Cidadania";"https://dadosabertos.camara.leg.br/api/v2/partidos/37905";""
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"Podemos";"";"Não"
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";""
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"Novo";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Não"
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"Oposição";"";""
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"GOV.";"";"Não"
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"Não"
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"Não"
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"Avante";"https://dadosabertos.camara.leg.br/api/v2/partidos/36898";"Não"
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"Maioria";"";"Não"
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"Sim"
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Não"
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";""
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Sim"
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";""
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"Minoria";"";""
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"Patriota";"https://dadosabertos.camara.leg.br/api/v2/partidos/37907";"Não"
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"União";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"Não"
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"Não"
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"PSC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36833";"Não"
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";""
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"PROS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36763";"Não"
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"Republican";"";"Não"
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"Rede";"https://dadosabertos.camara.leg.br/api/v2/partidos/36886";""
"2326278-38";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2326278-38";"PLEN";"Rejeitada a Emenda de Plenário nº 1. Sim: 92; não: 209; total: 301.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";""
"2334096-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-29";"CESUBCRE";"Aprovada a matéria destacada. Fica mantido o texto do Relator Resultado: 
Sim: 3; Não: 0; Abstenção: 0; e Quórum de Votação: 3. Obstrução: 0; e Total de Votantes: 3.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Sim"
"2334096-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-29";"CESUBCRE";"Aprovada a matéria destacada. Fica mantido o texto do Relator Resultado: 
Sim: 3; Não: 0; Abstenção: 0; e Quórum de Votação: 3. Obstrução: 0; e Total de Votantes: 3.";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"Não"
"2334096-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-29";"CESUBCRE";"Aprovada a matéria destacada. Fica mantido o texto do Relator Resultado: 
Sim: 3; Não: 0; Abstenção: 0; e Quórum de Votação: 3. Obstrução: 0; e Total de Votantes: 3.";"Governo";"";"Sim"
"2334095-31";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334095-31";"CESUBCRE";"Aprovada a matéria destacada. Fica mantido o texto do Relator. Sim: 3; Não: 0; Abstenção: 0; e Quórum de Votação: 3. Obstrução: 0; e Total de Votantes: 3";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"Não"
"2334095-31";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334095-31";"CESUBCRE";"Aprovada a matéria destacada. Fica mantido o texto do Relator. Sim: 3; Não: 0; Abstenção: 0; e Quórum de Votação: 3. Obstrução: 0; e Total de Votantes: 3";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Sim"
"2334096-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-26";"CESUBCRE";"Aprovado o Parecer do Relator, Dep. Danilo Forte, com complementação de voto, ressalvados os destaques.
Resultado: Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5.";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"Sim"
"2334096-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-26";"CESUBCRE";"Aprovado o Parecer do Relator, Dep. Danilo Forte, com complementação de voto, ressalvados os destaques.
Resultado: Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5.";"Minoria";"";"Sim"
"2334096-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-26";"CESUBCRE";"Aprovado o Parecer do Relator, Dep. Danilo Forte, com complementação de voto, ressalvados os destaques.
Resultado: Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5.";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"Sim"
"2334096-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-26";"CESUBCRE";"Aprovado o Parecer do Relator, Dep. Danilo Forte, com complementação de voto, ressalvados os destaques.
Resultado: Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"Sim"
"2334096-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-26";"CESUBCRE";"Aprovado o Parecer do Relator, Dep. Danilo Forte, com complementação de voto, ressalvados os destaques.
Resultado: Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5.";"REPUBLICANOS";"";"Sim"
"2334096-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-26";"CESUBCRE";"Aprovado o Parecer do Relator, Dep. Danilo Forte, com complementação de voto, ressalvados os destaques.
Resultado: Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Sim"
"2334096-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-26";"CESUBCRE";"Aprovado o Parecer do Relator, Dep. Danilo Forte, com complementação de voto, ressalvados os destaques.
Resultado: Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5.";"NOVO";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Não"
"2334096-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-26";"CESUBCRE";"Aprovado o Parecer do Relator, Dep. Danilo Forte, com complementação de voto, ressalvados os destaques.
Resultado: Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5.";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"Sim"
"2334096-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-26";"CESUBCRE";"Aprovado o Parecer do Relator, Dep. Danilo Forte, com complementação de voto, ressalvados os destaques.
Resultado: Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Sim"
"2334096-26";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-26";"CESUBCRE";"Aprovado o Parecer do Relator, Dep. Danilo Forte, com complementação de voto, ressalvados os destaques.
Resultado: Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5.";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"Sim"
